2022-02-16 10:17:47,496 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping(register:550) - Mapped "{[/shop/register],methods=[GET]}" onto public java.lang.String net.lele.controller.ShopController.register(net.lele.model.UserRegistrationModel,org.springframework.ui.Model) throws java.lang.Exception
2022-02-16 10:17:47,496 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping(register:550) - Mapped "{[/shop/register],methods=[POST]}" onto public java.lang.String net.lele.controller.ShopController.register(net.lele.model.UserRegistrationModel,org.springframework.validation.BindingResult,org.springframework.ui.Model) throws java.lang.Exception
2022-02-16 10:17:47,496 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping(register:550) - Mapped "{[/shop/delete/{id}]}" onto public java.lang.String net.lele.controller.ShopController.delete(int,org.springframework.ui.Model) throws java.lang.Exception
2022-02-16 10:17:47,496 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping(register:550) - Mapped "{[/shop/search]}" onto public java.lang.String net.lele.controller.ShopController.search(java.lang.String,org.springframework.ui.Model) throws java.lang.Exception
2022-02-16 10:17:47,496 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping(register:550) - Mapped "{[/shop/region/{state}]}" onto public java.lang.String net.lele.controller.ShopController.region(java.lang.String,org.springframework.ui.Model)
2022-02-16 10:17:47,496 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping(register:550) - Mapped "{[/shop/region/{state}/{city}]}" onto public java.lang.String net.lele.controller.ShopController.region(java.lang.String,java.lang.String,org.springframework.ui.Model)
2022-02-16 10:17:47,496 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping(register:550) - Mapped "{[/shop/category/{id}]}" onto public java.lang.String net.lele.controller.ShopController.category(int,org.springframework.ui.Model) throws java.lang.Exception
2022-02-16 10:17:47,496 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping(register:550) - Mapped "{[/shop/notice]}" onto public java.lang.String net.lele.controller.ShopController.notice(org.springframework.ui.Model)
2022-02-16 10:17:47,496 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping(register:550) - Mapped "{[/shop/users/{id}]}" onto public java.lang.String net.lele.controller.ShopController.users(int,org.springframework.ui.Model) throws java.lang.Exception
2022-02-16 10:17:47,496 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping(register:550) - Mapped "{[/shop/product/{id}],methods=[POST]}" onto public java.lang.String net.lele.controller.ShopController.product(int,org.springframework.ui.Model,net.lele.domain.Interest_product,org.springframework.validation.BindingResult) throws java.lang.Exception
2022-02-16 10:17:47,496 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping(register:550) - Mapped "{[/shop/product/{id}]}" onto public java.lang.String net.lele.controller.ShopController.product(int,net.lele.domain.Interest_product,org.springframework.ui.Model) throws java.lang.Exception
2022-02-16 10:17:47,496 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping(register:550) - Mapped "{[/shop/login]}" onto public java.lang.String net.lele.controller.ShopController.login(org.springframework.ui.Model) throws java.lang.Exception
2022-02-16 10:17:47,506 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping(register:550) - Mapped "{[/shop/noticedetail/{id}]}" onto public java.lang.String net.lele.controller.ShopController.noticedetail(int,org.springframework.ui.Model) throws java.lang.Exception
2022-02-16 10:17:47,506 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping(register:550) - Mapped "{[/shop/hotproduct]}" onto public java.lang.String net.lele.controller.ShopController.hotproduct(org.springframework.ui.Model)
2022-02-16 10:17:47,506 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping(register:550) - Mapped "{[/shop/loca]}" onto public java.util.List<net.lele.domain.City> net.lele.controller.ShopController.loca(int,org.springframework.ui.Model)
2022-02-16 10:17:47,506 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping(register:550) - Mapped "{[/shop/pdelete/{id}]}" onto public java.lang.String net.lele.controller.ShopController.pdelete(int,org.springframework.ui.Model)
2022-02-16 10:17:47,506 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping(register:550) - Mapped "{[/user/write]}" onto public java.lang.String net.lele.controller.UserController.write(org.springframework.ui.Model) throws java.lang.Exception
2022-02-16 10:17:47,506 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping(register:550) - Mapped "{[/user/message/{nickname}]}" onto public java.lang.String net.lele.controller.UserController.message(java.lang.String,net.lele.domain.Message,org.springframework.ui.Model) throws java.lang.Exception
2022-02-16 10:17:47,506 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping(register:550) - Mapped "{[/user/message/{nickname}],methods=[POST]}" onto public java.lang.String net.lele.controller.UserController.message(java.lang.String,org.springframework.ui.Model,net.lele.domain.Message) throws java.lang.Exception
2022-02-16 10:17:47,517 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping(register:550) - Mapped "{[/user/location]}" onto public java.lang.String net.lele.controller.UserController.location(org.springframework.ui.Model) throws java.lang.Exception
2022-02-16 10:17:47,517 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping(register:550) - Mapped "{[/user/location],methods=[POST]}" onto public java.lang.String net.lele.controller.UserController.location(javax.servlet.http.HttpServletRequest,org.springframework.ui.Model) throws java.lang.Exception
2022-02-16 10:17:47,517 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping(register:550) - Mapped "{[/user/ask],methods=[POST]}" onto public java.lang.String net.lele.controller.UserController.ask(org.springframework.ui.Model,net.lele.domain.Ask,org.springframework.validation.BindingResult) throws java.lang.Exception
